"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 11 02:52:45 UTC 2023","Wed Oct 11 02:52:55 UTC 2023","9114","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Oct 11 03:14:59 UTC 2023","Wed Oct 11 03:14:59 UTC 2023","318","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Oct 11 02:21:35 UTC 2023","Wed Oct 11 02:21:45 UTC 2023","10040","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed Oct 11 02:28:06 UTC 2023","Wed Oct 11 02:28:14 UTC 2023","7763","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Oct 11 02:23:33 UTC 2023","Wed Oct 11 02:23:52 UTC 2023","18867","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Oct 11 02:48:44 UTC 2023","Wed Oct 11 02:48:48 UTC 2023","3962","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Oct 11 02:28:35 UTC 2023","Wed Oct 11 02:28:42 UTC 2023","6592","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Oct 11 03:33:08 UTC 2023","Wed Oct 11 03:33:18 UTC 2023","9742","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Oct 11 02:48:48 UTC 2023","Wed Oct 11 02:49:08 UTC 2023","19905","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Oct 11 02:48:34 UTC 2023","Wed Oct 11 02:48:44 UTC 2023","9768","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Wed Oct 11 03:58:09 UTC 2023","Wed Oct 11 03:58:23 UTC 2023","13589","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Oct 11 04:08:21 UTC 2023","Wed Oct 11 04:08:22 UTC 2023","498","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Oct 11 04:24:13 UTC 2023","Wed Oct 11 04:24:32 UTC 2023","18740","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Oct 11 04:38:26 UTC 2023","Wed Oct 11 04:38:28 UTC 2023","1972","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed Oct 11 02:28:17 UTC 2023","Wed Oct 11 02:28:35 UTC 2023","18093","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Oct 11 02:36:37 UTC 2023","Wed Oct 11 02:36:41 UTC 2023","3170","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"failed","Wed Oct 11 03:46:36 UTC 2023","Wed Oct 11 03:48:35 UTC 2023","118393","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Oct 11 04:28:08 UTC 2023","Wed Oct 11 04:29:07 UTC 2023","59427","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Oct 11 02:49:08 UTC 2023","Wed Oct 11 02:49:12 UTC 2023","4156","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Oct 11 04:08:31 UTC 2023","Wed Oct 11 04:08:34 UTC 2023","3140","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Oct 11 02:20:15 UTC 2023","Wed Oct 11 02:20:15 UTC 2023","49","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Oct 11 04:24:32 UTC 2023","Wed Oct 11 04:24:41 UTC 2023","8608","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Oct 11 04:05:43 UTC 2023","Wed Oct 11 04:05:52 UTC 2023","9721","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Oct 11 02:53:31 UTC 2023","Wed Oct 11 02:53:40 UTC 2023","9404","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Oct 11 02:21:11 UTC 2023","Wed Oct 11 02:21:35 UTC 2023","24229","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Oct 11 02:53:44 UTC 2023","Wed Oct 11 02:53:45 UTC 2023","468","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Oct 11 03:32:30 UTC 2023","Wed Oct 11 03:32:33 UTC 2023","3290","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Oct 11 03:14:56 UTC 2023","Wed Oct 11 03:14:59 UTC 2023","2891","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Oct 11 03:10:36 UTC 2023","Wed Oct 11 03:10:55 UTC 2023","18929","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Oct 11 02:19:35 UTC 2023","Wed Oct 11 02:20:15 UTC 2023","39369","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Oct 11 03:11:36 UTC 2023","Wed Oct 11 03:11:38 UTC 2023","1147","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Oct 11 03:17:55 UTC 2023","Wed Oct 11 03:17:57 UTC 2023","2024","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Oct 11 02:40:32 UTC 2023","Wed Oct 11 02:40:35 UTC 2023","3281","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Oct 11 02:40:00 UTC 2023","Wed Oct 11 02:40:21 UTC 2023","20556","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Oct 11 02:52:57 UTC 2023","Wed Oct 11 02:53:09 UTC 2023","12100","","6. Company Account","","","","4. Complete Build Your Portfolio",""
